JL101A,光学A星
JL1GF03D25-BD,高分03D25星_北斗
JL1GF03D26-BD,高分03D26星_北斗
JL1PT02A01,平台02A01星
JL1PT02A02,平台02A02星
JL1GF06A01,高分06A01星
JL1GF06A02,高分06A02星
JL1GF06A03,高分06A03星
JL1GF06A04,高分06A04星
JL1GF06A05,高分06A05星
JL1GF06A06,高分06A06星
JL1GF06A07,高分06A07星
JL1GF06A08,高分06A08星
JL1GF06A09,高分06A09星
JL1GF06A10,高分06A10星
JL1GF06A11,高分06A11星
JL1GF06A12,高分06A12星
JL1GF06A13,高分06A13星
JL1GF06A14,高分06A14星
JL1GF06A15,高分06A15星
JL1GF06A16,高分06A16星
JL1GF06A17,高分06A17星
JL1GF06A18,高分06A18星
JL1GF06A19,高分06A19星
JL1GF06A20,高分06A20星
JL1GF06A21,高分06A21星
JL1GF06A22,高分06A22星
JL1GF06A23,高分06A23星
JL1GF06A24,高分06A24星
JL1GF06A25,高分06A25星
JL1GF06A26,高分06A26星
JL1GF06A27,高分06A27星
JL1GF06A28,高分06A28星
JL1GF06A29,高分06A29星
JL1GF06A30,高分06A30星
JL1PT02A01-BD,平台02A01星_北斗
JL1PT02A02-BD,平台02A02星_北斗
JL1GF06A01-BD,高分06A01星_北斗
JL1GF06A02-BD,高分06A02星_北斗
JL1GF06A03-BD,高分06A03星_北斗
JL1GF06A04-BD,高分06A04星_北斗
JL1GF06A05-BD,高分06A05星_北斗
JL1GF06A06-BD,高分06A06星_北斗
JL1GF06A07-BD,高分06A07星_北斗
JL1GF06A08-BD,高分06A08星_北斗
JL1GF06A09-BD,高分06A09星_北斗
JL1GF06A10-BD,高分06A10星_北斗
JL1GF06A11-BD,高分06A11星_北斗
JL1GF06A12-BD,高分06A12星_北斗
JL1GF06A13-BD,高分06A13星_北斗
JL1GF06A14-BD,高分06A14星_北斗
JL1GF06A15-BD,高分06A15星_北斗
JL1GF06A16-BD,高分06A16星_北斗
JL1GF06A17-BD,高分06A17星_北斗
JL1GF06A18-BD,高分06A18星_北斗
JL1GF06A19-BD,高分06A19星_北斗
JL1GF06A20-BD,高分06A20星_北斗
JL1GF06A21-BD,高分06A21星_北斗
JL1GF06A22-BD,高分06A22星_北斗
JL1GF06A23-BD,高分06A23星_北斗
JL1GF06A24-BD,高分06A24星_北斗
JL1GF06A25-BD,高分06A25星_北斗
JL1GF06A26-BD,高分06A26星_北斗
JL1GF06A27-BD,高分06A27星_北斗
JL1GF06A28-BD,高分06A28星_北斗
JL1GF06A29-BD,高分06A29星_北斗
JL1GF06A30-BD,高分06A30星_北斗
JL1GF05A,高分05A星
JL1GF05A-BD,高分05A星_北斗
MF01B01-BD,吉星01星_北斗
MF01B02-BD,吉星02星_北斗
MF01B03-BD,吉星03星_北斗
MF01B04-BD,吉星04星_北斗
MF01B05-BD,吉星05星_北斗
MF01B06-BD,吉星06星_北斗
MF01B07-BD,吉星07星_北斗
MF01B08-BD,吉星08星_北斗
MF01B09-BD,吉星09星_北斗
MF01B10-BD,吉星10星_北斗
MF01B11-BD,吉星11星_北斗
MF01B12-BD,吉星12星_北斗
MF01B13-BD,吉星13星_北斗
MF01B14-BD,吉星14星_北斗
MF01B15-BD,吉星15星_北斗
MF01B16-BD,吉星16星_北斗
MF01B17-BD,吉星17星_北斗
MF01B18-BD,吉星18星_北斗
MF01B19-BD,吉星19星_北斗
